denominacion;sigla;domicilio;telefono
OBRA SOCIAL FEDERAL DE LA FEDERACION NACIONAL DE TRABAJADORES DE OBRAS SANITARIAS                                                                                                                       ;OSFFENTOS         ;PASCO 580 - PB                                    ;osffentos@fentos.org. ar.
OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE RESIDUOS Y BARRIDO DE CORDOBA                                                                                                                        ;O.S.S.U.R.R.B.A.C ;LIMA 342                                          ;surrbacinstitucional@gmail.com
OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA                                                                                                                                  ;OSPRERA           ;RECONQUISTA 630                                   ;
OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS                                                                                                                                                   ;OSPPCYQ           ;OSVALDO CRUZ 2075                                 ;info@ospapel.org.ar
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD PERFUMISTA                                                                                                                                                     ;OSPAP             ;TREINTA Y TRES ORIENTALES 148                     ;ospap@ospap.org.ar
OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUERTOS                                                                                                                                                   ;                  ;AV MONTES DE OCA 1731                             ;
OBRA SOCIAL DEL PERSONAL DE BARRACAS DE LANAS, CUEROS Y ANEXOS                                                                                                                                          ;                  ;FLORENTINO AMEGHINO 1060                          ;osblyca@uolsinectis.com.ar
OBRA SOCIAL DE ENCARGADOS APUNTADORES MARITIMOS                                                                                                                                                         ;OSEAM             ;MEXICO 2183 DTO A                                 ;oseam@speedy.com.ar
OBRA SOCIAL DE LOS TRABAJADORES ARGENTINOS DE CENTROS DE CONTACTOS                                                                                                                                      ;O.S.T.A.C.C,      ;ROSARIO DE SANTA FE 414                           ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FOSFORO, ENCENDIDO Y AFINES                                                                                                                                ;OSPIF             ;MARCONI 652                                       ;prestadores@ospif.net.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PLASTICO                                                                                                                                                   ;OSPIP             ;PAVON 4175                                        ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA AZUCARERA                                                                                                                                                      ;OSPIA             ;CONGRESO 342/8                                    ;ospia@tucbbs.com.ar
OBRA SOCIAL DE LA CONFEDERACION DE OBREROS Y EMPLEADOS MUNICIPALES  ARGENTINA ( OSCOEMA )                                                                                                               ;OSCOEMA           ;MORENO 970 PISO 2 OF. 15                          ;oscoema@gmail.com
OBRA SOCIAL DEL PERSONAL DE LUZ Y FUERZA DE CORDOBA                                                                                                                                                     ;OSLYF             ;AVDA. GRAL PAZ 282 PISO 1                         ;
OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJADOR  DE LAS UNIVERSIDADES NACIONALES                                                                                                                  ;OSFATUN           ;AV BELGRANO 3768 4TO. PISO                        ;info@osfatun.com.ar
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD FRUTICOLA                                                                                                                                                      ;OSPAF             ;SAAVEDRA 121                                      ;OSPAF@YAHOO.COM.AR
OBRA SOCIAL DEL PERSONAL DE  MICROS Y OMNIBUS DE MENDOZA                                                                                                                                                ;OSPEMOM           ;CATAMARCA 382                                     ;ospemom@ospemom.org.ar
OBRA SOCIAL DEL PERSONAL MARITIMO                                                                                                                                                                       ;OSPM              ;VENEZUELA 1427                                    ;gerencia@ospm.com.ar
OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA                                                                                                                                                           ;OSEPC             ;OBISPO TREJO 365                                  ;prensalud@osepc.com.ar
OBRA SOCIAL DEL PETROLEO Y GAS PRIVADOS                                                                                                                                                                 ;OSPEGAP           ;AV. CASEROS 715                                   ;ospegapsalud@petroleoygas.com.ar
OBRA SOCIAL DEL PERSONAL DE RECOLECCION Y BARRIDO DE ROSARIO                                                                                                                                            ;                  ;BUENOS AIRES 1635                                 ;osprbyl@arnet.com.ar
OBRA SOCIAL DEL PERSONAL DEL JOCKEY CLUB DE ROSARIO                                                                                                                                                     ;                  ;OVIDIO LAGOS 1571                                 ;
OBRA SOCIAL DE TRABAJADORES DE PERKINS ARGENTINA S.A.I.C                                                                                                                                                ;OSTP              ;ROQUE SAENZ PEÑA 1377                             ;obrasocialperkins@hotmail.com
OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES                                                                                                                                          ;OSECAC            ;MORENO 648/50                                     ;
OBRA SOCIAL DEL SINDICATO OBREROS Y EMPLEADOS DE EMPRESAS DE LIMPIEZA,SERVICIOS Y AFINES DE CORDOBA                                                                                                     ;OSSOELSAC         ;ENTRE RIOS 372                                    ;
OBRA SOCIAL DEL PERSONAL DE AERONAVEGACION DE ENTES PRIVADOS                                                                                                                                            ;OSPADEP           ;VENEZUELA 900                                     ;info@ospadep.com
OBRA SOCIAL DEL PERSONAL DE PRENSA DE MAR DEL PLATA                                                                                                                                                     ;OSPREN            ;DORREGO 1734                                      ;ospren@ospren.org.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA FIDEERA                                                                                                                                                        ;OSPIF             ;RIO DE JANEIRO 55                                 ;ospif-central@speedy.com.ar
OBRA SOCIAL DEL PERSONAL DE PRENSA DE ROSARIO                                                                                                                                                           ;OSPRO             ;JUAN MANUEL DE ROSAS 958                          ;ospro@arnet.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VESTIDO                                                                                                                                                    ;OSPIV             ;AVDA. RIVADAVIA 1378 PB                           ;presidencia@osvestido.com.ar
OBRA SOCIAL DE VAREADORES                                                                                                                                                                               ;                  ;ENTRE RIOS 1395                                   ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL TRACTOR                                                                                                                                                    ;OSPIT             ;SAN LORENZO 2181                                  ;juareznestor@hotmail.com
OBRA SOCIAL DEL PERSONAL DE JABONEROS                                                                                                                                                                   ;OSPEJ             ;SARMIENTO 1113 PISO 8 B                           ;notificaciones@osjaboneros.com.ar
OBRA SOCIAL  PARA EL PERSONAL DE LA INDUSTRIA FORESTAL DE SANTIAGO DEL ESTERO                                                                                                                           ;OSPIFSE           ;MISIONES 332                                      ;ingresos@ospifse.com.ar
 OBRA SOCIAL DEL PERSONAL DE PRENSA DE MENDOZA                                                                                                                                                          ;                  ;CHILE 1661                                        ;administracion@prensaludmza.org.ar
OBRA SOCIAL DE PEONES DE TAXIS DE LA CAPITAL FEDERAL                                                                                                                                                    ;OSPETAX           ;AVDA LA PLATA 1554/60/62/64                       ;sindicato taxis@speedy.com.ar
OBRA SOCIAL DEL PERSONAL DE INSTALACIONES SANITARIAS                                                                                                                                                    ;OSPIS             ;PASCO Nº 1040                                     ;
OBRA SOCIAL DE JARDINEROS, PARQUISTAS, VIVERISTAS Y FLORICULTORES DE LA REPUBLICA ARGENTINA                                                                                                             ;OSJPVYF           ;LUIS SAENZ PEÑA 480                               ;osjard@grupoa.com.ar
OBRA SOCIAL DEL SINDICATO DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR                                                                                                                                ;OSMATA            ;AVDA. BELGRANO 665 PISO 8                         ;
OBRA SOCIAL DEL PERSONAL ADMINISTRATIVO Y TECNICO DE LA CONSTRUCCION Y AFINES                                                                                                                           ;OSPATCA           ;PTE. LUIS SAENZ PEÑA 1142/44                      ;info@ospatca.org.ar
OBRA SOCIAL DE TRABAJADORES DE LAS COMUNICACIONES                                                                                                                                                       ;OSTRAC            ;CHACABUCO 140                                     ;institucional@aatrac,org.ar
OBRA SOCIAL DE EMPLEADOS DE DESPACHANTES DE ADUANA                                                                                                                                                      ;OSEDA             ;CALLAO 220 PISO 6                                 ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PESCADO DE MAR DEL PLATA                                                                                                                                   ;OSPIP             ;12 DE OCTUBRE 4445                                ;
OBRA SOCIAL DE EMPLEADOS DEL TABACO DE LA REPUBLICA ARGENTINA                                                                                                                                           ;OSETRA            ;BOLIVIA 384                                       ;mesadeentrada@suetra-tabacos.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO                                                                                                                                               ;OSPIF             ;CONSTITUCION 3674                                 ;osdelfibro@hotmail.com
OBRA SOCIAL DEL PERSONAL DE LA PUBLICIDAD                                                                                                                                                               ;OSPP              ;AVDA CORDOBA 1576                                 ;ospp@ciudad.com.ar
OBRA SOCIAL DEL PERSONAL AERONAUTICO                                                                                                                                                                    ;OSPA              ;ANCHORENA 1266                                    ;ospa@ospa.com.ar
 OBRA SOCIAL DEL PERSONAL DE MANIPULEO, EMPAQUE Y EXPEDICION DE FRUTA FRESCA Y HORTALIZAS DE CUYO                                                                                                       ;OSFYHC            ;MONTECASEROS 1147                                 ;osfyhc@yahoo.com.ar
OBRA SOCIAL DE PETROLEROS                                                                                                                                                                               ;OSPE              ;AVDA. L. ALEM 692 1º PISO                         ;informes@ospesalud.com.ar
OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS Y LAVADEROS AUTOMATICOS DE LA PROVINCIA DE SANTA FE                                                                                 ;OSPESGA           ;RIOBAMBA 1069                                     ;recpcion@ospesga.com.ar
OBRA SOCIAL PERSONAL ESTACIONES DE SERVICIO,GARAGES,PLAYAS Y LAVADEROS DE LA PROVINCIA DEL CHACO                                                                                                        ;OSPESCHA          ;JULIO A. ROCA 755                                 ;soesgypechaco@gigared.com
OBRA SOCIAL DE PETROLEROS DE CORDOBA                                                                                                                                                                    ;O.S.PE.COR        ;AYACUCHO 575 -BARRIO. GRAL. GUEMES                ;prestaciones@ospecor.com.ar
OBRA SOCIAL DEL PERSONAL DE ESCRIBANIAS DE LA PROVINCIA DE BUENOS AIRES                                                                                                                                 ;OSPEPBA           ;CALLE 45  Nº 509                                  ;social@empleadosescribania.org.ar
OBRA SOCIAL DE SERENOS DE BUQUES                                                                                                                                                                        ;                  ;BERNARDO DE IRIGOYEN 972/4 PISO 9 OF. 45          ;ossdeb@fideisalud.com.ar
OBRA SOCIAL DEL PERSONAL DE FABRICAS DE PINTURA                                                                                                                                                         ;UPFPARA           ;NAZCA 845                                         ;osocial@ospfp.org.ar
OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES                                                                                                                                                              ;OSETYA            ;BENITO QUINQUELA MARTIN 1738                      ;informes@osetya.com.ar
OBRA SOCIAL DE OFICIALES PELUQUEROS Y PEINADORES  DE LA 2DA CIRCUNSCRIPCION JUDICIAL DE LA PROVINCIA DE SANTA FE                                                                                        ;                  ;MONTEVIDEO 1488                                   ;osopp@sppr.org.ar
OBRA SOCIAL UNION PERSONAL DE LA UNION DEL  PERSONAL CIVIL DE LA NACION                                                                                                                                 ;OSPCN             ;TUCUMAN 949                                       ;
OBRA SOCIAL DE LOS TRABAJADORES VIALES Y AFINES DE LA REPUBLICA ARGENTINA                                                                                                                               ;                  ;MEXICO 1399 P.B ESQUINA SAN JOSE                  ;info@vialsalud.com.ar
OBRA SOCIAL CONDUCTORES DE TRANSPORTE COLECTIVO DE PASAJEROS                                                                                                                                            ;                  ;MORENO 2969                                       ;
OBRA SOCIAL PARA EL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS DE ESTACIONAMIENTO, LAVADEROS AUTOMATICOS Y GOMERIAS DE LA REPUBLICA ARGENTINA                                                  ;OSPES             ;MORENO 2681                                       ;central@ospes.org.ar
OBRA SOCIAL DEL PERSONAL DE DISTRIBUIDORAS CINEMATOGRAFICAS DE LA R.A.                                                                                                                                  ;OSPEDICI          ;AYACUCHO 512/514   1º Y 2º PISO                   ;consultas@ospedici.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MADERERA                                                                                                                                                       ;OSPIM             ;ROJAS 254                                         ;contacto@ospim.com.ar
OBRA SOCIAL DE LOS CORTADORES DE LA INDUMENTARIA                                                                                                                                                        ;OSUCI             ;SANTIAGO DEL ESTERO 576                           ;obrasocial@uci.org.ar
OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE CORDOBA                                                                                                                                                  ;OSAPMCBA          ;AVDA OLMOS 485 PISO 2 (ESQUINA STAGO DEL ESTERO)  ;info@osapmcba.com.ar
OBRA SOCIAL DEL PERSONAL NAVAL                                                                                                                                                                          ;OSPENA            ;JUAN  DE DIOS FILIBERTO 914                       ;ospena1340@hotmail.com
OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LEDESMA                                                                                                                                                 ;OSPAIL            ;JUJUY 755 CC5                                     ;
OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS  QUIMICAS Y PETROQUIMICAS DE ZARATE CAMPANA                                                                                                                      ;OPZC              ;DR FELIX PAGOLA 1712                              ;info@obrasocialquimicos.com.ar
OBRA SOCIAL DEL PERSONAL DE SUPERVISION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES                                                                                                                      ;OSPSESBA          ;EMILIO MITRE 582                                  ;ospesba@fibertel.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA  DEL TABACO                                                                                                                                                    ;OSPIT             ;ESTEBAN BONORINO 281                              ;ospitabaco@infovia.com.ar
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VIAL                                                                                                                                                           ;OSPA-VIAL         ;AVDA. DE MAYO 1439                                ;ospacentral@yahoo.com.ar
OBRA SOCIAL DEL PERSONAL DE IMPRENTAS, DIARIOS Y AFINES                                                                                                                                                 ;OSPIDA            ;SAN JOSE 157                                      ;ospida@ospida.org.ar
OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA. (ANDAR)                                                                                                                                  ;OSVVRA            ;MORENO 2045                                       ;info@redsocialfuva.com.ar
OBRA SOCIAL DEL PERSONAL DEL ESPECTACULO PUBLICO                                                                                                                                                        ;OSPEP             ;PASCO 148/54                                      ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO                                                                                                                                                     ;OSPIV             ;BALBASTRO 453                                     ;
OBRA SOCIAL  EMPLEADOS DE AGENCIAS DE INFORMES                                                                                                                                                          ;OSEADI            ;LAVALLE 1783 PISO 1 - OF. A                       ;oseadi@VELOCOM.com.ar
OBRA SOCIAL PEONES DE TAXIS DE ROSARIO                                                                                                                                                                  ;O.S.PE.TAX.R      ;SALTA 2882                                        ;
OBRA SOCIAL DEL PERSONAL DE TELEVISION                                                                                                                                                                  ;OSPTV             ;QUINTINO BOCAYUVA 38/50                           ;info@tvsalud.com.ar
OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SINDICATO BUENOS AIRES                                                                                                                                   ;OSPETELCO         ;24 DE NOVIEMBRE 40                                ;info@ospetelco.org
OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEITERA, DESMOTADORA Y AFINES                                                                                                                             ;OSIAD             ;AVDA. BELGRANO 1370  PISO 2                       ;info@osiadsalud.org.ar
OBRA SOCIAL DEL PERSONAL SUPERIOR Y PROFESIONAL DE EMPRESAS AEROCOMERCIALES                                                                                                                             ;OSPEA             ;INDEPENDENCIA 1111 - PISO 2                       ;ospea@upsa-ospea.com.ar
OBRA SOCIAL DE  LAS ASOCIACIONES DE EMPLEADOS DE FARMACIA                                                                                                                                               ;OSADEF            ;RINCON 1035                                       ;adolfo@osadef.org.ar
OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL INSTANTE Y AFINES                                                                                                                                      ;OSCRAIA           ;"CERRITO 228 - 1º ""B""                              ";oscraia@live.com.ar
OBRA SOCIAL DE ACTORES                                                                                                                                                                                  ;OSA               ;AYACUCHO 537                                      ;
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CHACINADO Y AFINES                                                                                                                                         ;OSPICHA           ;AVDA. SAN JUAN 4229 PLANTA BAJA                   ;
OBRA SOCIAL DE CERAMISTAS                                                                                                                                                                               ;OSCE              ;DOBLAS 629                                        ;
OBRA SOCIAL DE FOTOGRAFOS                                                                                                                                                                               ;OSFOT             ;PRINGLES 1090/92                                  ;osfotadm@gmail.com/seoffra@gmail.com
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL                                                                                                                                                         ;OSPIT             ;AVDA. LA PLATA 754                                ;ospit@aotra.org.ar
OBRA SOCIAL DE FARMACEUTICOS Y BIOQUIMICOS                                                                                                                                                              ;OSFYB             ;AGUERO 1595 PISO 13                               ;
OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL  CLUB ARGENTINO                                                                                                                                                  ;OSPACA            ;ANCHORENA 639 - PISO 1                            ;informes@ospaca.com
OBRA SOCIAL DE CAPITANES DE ULTRAMAR Y OFICIALES DE LA MARINA MERCANTE                                                                                                                                  ;OSCOMM            ;AVENIDA INDEPEDENCIA 611                          ;secretaria@capitanes.org.ar
OBRA SOCIAL DE LA ACTIVIDAD MINERA                                                                                                                                                                      ;O.S.A.M.          ;ROSARIO 434/36                                    ;
OBRA SOCIAL DEL PERSONAL DE CARGA Y DESCARGA                                                                                                                                                            ;OSPCYD            ;COCHABAMBA 1635                                   ;info@unioncargaydescarga.org
OBRA SOCIAL DEL PERSONAL DE PRENSA DE TUCUMAN                                                                                                                                                           ;OSPRENTUC         ;JUNIN 775                                         ;osprentuc@yahoo.com
OBRA SOCIAL DE CHOFERES DE CAMIONES                                                                                                                                                                     ;OSCHOCA           ;SAN JOSE 1775/81                                  ;info@camioneros-ba.org.ar
OBRA SOCIAL DEL PERSONAL ADUANERO DE LA REPUBLICA ARGENTINA                                                                                                                                             ;OSPAD             ;Tacuari 558/560                                   ;info.ospad@gmail.com
OBRA SOCIAL DEL PERSONAL SUPERIOR MERCEDES BENZ ARGENTINA                                                                                                                                               ;OSPS MERCEDES     ;OLIDEN 46                                         ;obrasocial@apsmba.com.ar
OBRA SOCIAL DE GUINCHEROS Y MAQUINISTAS DE GRUAS MOVILES                                                                                                                                                ;                  ;CORONEL SALVADORES 1638                           ;tesoreria@guincheros.org.ar
OBRA SOCIAL DEL PERSONAL DE ESCRIBANOS                                                                                                                                                                  ;OSPE              ;RODRIGUEZ PEÑA 536/38                             ;obrasocial@ospe.org.ar
OBRA SOCIAL DEL PERSONAL DE PRENSA DE LA REPUBLICA ARGENTINA                                                                                                                                            ;OSPPRA            ;SOLIS 1158 PISO 3§                                ;info@osppra.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO DE SANTA FE                                                                                                                                         ;OSPIC SANTA FE    ;ITURRASPE 2458                                    ;oscauchostafe@yahoo.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CUERO Y AFINES                                                                                                                                             ;OSPICA            ;CALLE GIRIBONE 789                                ;
OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA                                                                                                                                   ;OSAPM             ;AVELLANEDA 2144                                   ;obra_social@apm.org.ar
OBRA SOCIAL DE PETROLEROS PRIVADOS                                                                                                                                                                      ;OS.PE.PRI         ;SANTA CRUZ 275                                    ;afiliaciones@ospepri.org.ar
OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO                                                                                                                                                            ;OSPTA             ;D ONOFRIO 158                                     ;aviones@aviones.com
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD CERVECERA Y AFINES                                                                                                                                             ;OSPACA            ;HUMAHUACA 4072                                    ;consultas@oscervecera.org.ar
OBRA SOCIAL DE OBREROS EMPACADORES DE FRUTA  DE RIO NEGRO Y NEUQUEN                                                                                                                                     ;                  ;MENGUELLE 130                                     ;info@osoefrnyn.org
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZADO                                                                                                                                                    ;OSPICAL           ;YATAY 129 PISO 4                                  ;institucional@ospical.org.ar
OBRA SOCIAL DEL PERSONAL DE PELUQUERIAS, ESTETICAS Y AFINES                                                                                                                                             ;OSPPEA            ;AYACUCHO 838                                      ;obrasocial@peluquerosargentinos.com
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL NEUMATICO                                                                                                                                                  ;OSPIN             ;JUJUY 995                                         ;contaduria@ospin.org.ar
OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA                                                                                                                                    ;OSUOMRA           ;ALSINA 477/485 -                                  ;of.afiliaciones@uom.org.ar
OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES                                                                                                                                                 ;OSMEDICA          ;MARCELO T. DE ALVEAR 867/871                      ;obrasocial@osmedica.com.ar
OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITEROS, LUSTRADORES Y PORCELANEROS                                                                                                                ;OSCAMGLYP         ;JOSE EUSEBIO COLOMBRES 1419                       ;info@oscamglyp.com
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA PETROQUIMICA                                                                                                                                                   ;OSPIP             ;AVDA. SAN MARTIN 698 PA                           ;administracion@ospip-os.com.ar
OBRA SOCIAL DE LOCUTORES                                                                                                                                                                                ;OSDEL             ;VIDT 2011                                         ;auditoriamedica@sal.org.ar
OBRA SOCIAL SERVICIOS SOCIALES BANCARIOS                                                                                                                                                                ;OSBA              ;25 DE MAYO 182                                    ;lumassetti@osssb.com.ar
OBRA SOCIAL DEL PERSONAL DE AGUAS GASEOSAS Y AFINES                                                                                                                                                     ;OSPAGA            ;BACACAY 2735/37                                   ;info@ospaga.com.ar
OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE                                                                                                                                                          ;OSEMM             ;BARTOLOME MITRE 3776                              ;osemm@osemm.org.ar
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VITIVINICOLA                                                                                                                                                   ;OSPAV             ;WARNES 1894                                       ;info@ospav.com.ar
OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA                                                                                                                                                        ;OSPSA             ;DEAN FUNES 1242                                   ;info@sanidad.org.ar
OBRA SOCIAL DE  EMPLEADOS DE LA INDUSTRIA DEL VIDRIO                                                                                                                                                    ;OSEIV             ;CARABOBO 217                                      ;oseiv.vidrio@hotmail.com
OBRA SOCIAL DEL PERSONAL MOSAISTA                                                                                                                                                                       ;OSPM              ;QUIRNO 89                                         ;mosaistas@hotmail.com
OBRA SOCIAL TALLERISTAS A DOMICILIO                                                                                                                                                                     ;OSTAD             ;ACEVEDO 553                                       ;ostad@fibertel.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA NAVAL                                                                                                                                                          ;OSPIN             ;CHACABUCO 528                                     ;osnavales@yahoo.com.ar
OBRA SOCIAL DEL PERSONAL DE SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS                                                                                                                  ;OSPSIP            ;PARANA 717/19                                     ;info@ospsip.org.ar
